match_id,opponent,minute,intervention_type,formation_at_time,score_diff,momentum_index,xg_diff,mar_xg_rate,opp_xg_rate,mar_pass_completion_rate,mar_pass_completion_delta,mar_pressure_intensity,opp_pressure_intensity,mar_territory_mean_x,mar_progressive_pass_rate,time_remaining_proxy,pre_xg_diff,post_xg_diff,outcome_xg_diff_change,outcome_positive,player_off,player_on,sub_outcome,new_formation,cluster,cluster_label
3920405,Congo DR,79,substitution,4141,0,0.472086497300813,-0.77032688,0.0,0.0513551253333333,0.7073170731707317,-0.1915192469563401,1.2,0.7333333333333333,47.6629072039072,0.3414634146341463,11,-0.3397913679666666,-0.5349739313333335,-0.1951825633666668,0,Azzedine Ounahi,Amine Harit,Tactical,,0,Pressing_Under_Threat
3920419,Zambia,45,substitution,4141,1,-0.1446704469333334,0.5399716480000001,0.038811385,0.0028132751333333,0.9565217391304348,0.0595020091960122,0.6,1.5333333333333334,74.48551763800646,0.25,45,0.3124978713599999,0.6431074073733332,0.3306095360133332,1,Hakim Ziyech,Amine Adli,Injury,,1,Dominant_Efficient
3920419,Zambia,67,substitution,4141,1,0.8909905150133332,-0.0831961374,0.0,0.00554640916,0.8645833333333334,-0.0324363966010892,2.4,1.2,44.11845772033576,0.3020833333333333,23,0.25703789688,-0.0414727475199999,-0.2985106443999999,0,Sofiane Boufal,Abdessamad Ezzalzouli,Tactical,,3,Balanced_Phase
3920419,Zambia,67,substitution,4141,1,0.8909905150133332,-0.0831961374,0.0,0.00554640916,0.8645833333333334,-0.0324363966010892,2.4,1.2,44.11845772033576,0.3020833333333333,23,0.25703789688,-0.0414727475199999,-0.2985106443999999,0,Ismael Saibari,Amir Richardson,Tactical,,3,Balanced_Phase
3920419,Zambia,72,substitution,4141,1,0.711984104756923,-0.0831961374,0.0,0.00554640916,0.8307692307692308,-0.0662504991651917,1.7333333333333334,0.9333333333333332,48.12993246568247,0.3230769230769231,18,0.0715839791466666,5.820746666666127e-06,-0.0715781583999999,0,Ayoub El Kaabi,Tarik Tissoudali,Tactical,,3,Balanced_Phase
3920419,Zambia,83,substitution,4141,1,0.5957491511555555,0.051451967,0.0038321688666666,0.0004020377333333,0.7111111111111111,-0.1859086188233114,0.8666666666666667,0.6666666666666666,63.97927965491581,0.4888888888888889,7,-0.0414727475199999,0.3633611480769231,0.404833895596923,1,Azzedine Ounahi,Bilal El Khannous,Tactical,,3,Balanced_Phase
3922243,South Africa,59,substitution,433,-1,0.7314094786172838,0.10594146,0.0186591254666666,0.0115963614666666,0.8888888888888888,0.0374229397693067,2.933333333333333,2.066666666666667,53.51281545349477,0.2839506172839506,31,0.2809564648,0.0063356285333333,-0.2746208362666666,0,Selim Amallah,Ismael Saibari,Tactical,,3,Balanced_Phase
3922243,South Africa,59,substitution,433,-1,0.7314094786172838,0.10594146,0.0186591254666666,0.0115963614666666,0.8888888888888888,0.0374229397693067,2.933333333333333,2.066666666666667,53.51281545349477,0.2839506172839506,31,0.2809564648,0.0063356285333333,-0.2746208362666666,0,Amine Adli,Amine Harit,Tactical,,3,Balanced_Phase
3922243,South Africa,68,substitution,433,-1,0.3080132616650406,-0.0679493179999999,0.0066482508,0.0111782053333333,0.8414634146341463,-0.0100025344854357,1.0666666666666669,1.0666666666666669,70.50734293338242,0.3170731707317073,22,0.0894823292,0.2562921952,0.166809866,1,Abdessamad Ezzalzouli,Ayoub El Kaabi,Tactical,,2,Chasing_Game
3922243,South Africa,75,substitution,433,-1,-0.1570333373333333,0.19724997,0.013149998,0.0,0.83,-0.0214659491195821,0.6,1.4666666666666666,76.74218931945249,0.25,15,0.0063356285333333,0.8112732996666667,0.8049376711333334,1,Noussair Mazraoui,Yahia Attiyat allah,Injury,,1,Dominant_Efficient
3922243,South Africa,69,formation_shift,433,-1,0.2708597696481927,-0.0679493179999999,0.0066482508,0.0111782053333333,0.8313253012048193,-0.0201406479147627,1.0666666666666669,1.1333333333333333,70.5271207111602,0.3132530120481928,21,0.0628104168,0.3520881844,0.2892777675999999,1,,,,442.0,2,Chasing_Game
